class,id,high,weight,shangbiweisongjincha,xiongwei,huxicha,jiaowei,tunwei,jiankuan,gupenkuan,tizhong,tizhilv,jibenxinlv,xingongzhishu,maiyacha,feihuoliang,zuidasheyangliang,pingjunwoli,beijili,1minyangwoqizuo,lidingtiaoyuan,fuwocheng,xanzefanyingshi,50m,shizibianxiangpao,wangfanpao,fanfuhengkua,congcha,hengcha,zuoweitiqianqu,zhuanjian,litizhuanti,bimudanzu,1minpaowangqiu
3,81,0.007623008,0.00655308,0.105263158,0.012113055,0.137254902,0.009419152,0.003807107,0.01242236,0.00896861,0.018817204,0,-0.042253521,-0.052173913,0.076923077,0.140807651,0.041156296,0.07787016,0.073221757,0.090909091,0.071005917,0,-0.053571429,-0.031578947,-0.056962025,-0.063380282,0.102564103,-0.050561798,-0.037974684,0.145454545,0.011695906,-0.01056338,0.307692308,0.138686131
3,82,0.009721322,0.009580838,0,0.010152284,0.125,0.004672897,0.0036452,0.011730205,0.015686275,0.008385744,0,-0.02739726,-0.033898305,0.083333333,0.078834209,0.039923954,0.101339819,0.05451448,0.071428571,0.071856287,0.071428571,-0.037037037,-0.030612245,-0.056497175,-0.045454545,0.147058824,-0.061643836,-0.045454545,0.05952381,0.023255814,-0.014545455,0.517241379,0.133858268
3,83,0.01002004,0.010050251,0.08,0.011034483,0.118644068,0.004552352,0.003694581,0.012195122,0.016129032,0.015350877,0,-0.015625,-0.074468085,0,0.164086687,0.040919719,0.075753228,0.056838366,0.037037037,0.068571429,0.375,-0.051724138,-0.021505376,-0.054878049,-0.051470588,0.138888889,-0.053892216,-0.040358744,0.074626866,0.01244168,-0.014184397,0.315789474,0.089655172
3,84,0.009874918,0.009815951,0.12,0.010322581,0.122807018,0.004379562,0.003631961,0.011976048,0.016736402,0.00856531,0,-0.044117647,-0.04950495,0,0.218181818,0.036971831,0.093318888,0.052545156,0.086956522,0.074534161,0.6,-0.054545455,-0.030927835,-0.056818182,-0.046979866,0.172413793,-0.042654028,-0.03358209,0.357142857,0.005319149,-0.013289037,0.292682927,0.122302158
3,85,0.007352941,0.006779661,0.060606061,0.009489917,0.094594595,0.003865979,0.003340757,0.011019284,0.01369863,-0.003745318,0,-0.014492754,-0.066037736,0,0.1037182,0.033005894,0.067463937,0.04491018,0.04,0.073619632,0,-0.053571429,-0.031914894,-0.052631579,-0.02919708,0.097560976,-0.035573123,-0.029605263,-0.086206897,0.010178117,-0.014652015,0.448275862,0.118881119
3,86,0.007462687,0.007575758,0,0.011795544,0.132075472,0.00462963,0.003856041,0.01242236,0.01754386,0.009259259,0,-0.014925373,-0.067307692,0,0.308910891,0.040737148,0.104862251,0.058287796,0.038461538,0.075949367,0.428571429,-0.037735849,-0.031578947,-0.056962025,-0.034013605,0.147058824,-0.160714286,-0.096774194,0.033783784,0.017130621,-0.012738854,0.652173913,0.093333333
3,87,0.009848982,0.009779951,0.125,0.011461318,0.120689655,0.005309735,0.004043127,0.011940299,0.016736402,0.009367681,0,-0.013888889,-0.059322034,0,0.119477006,0.036971831,0.108107672,0.055749129,0.03125,0.052631579,0.076923077,-0.053571429,-0.032258065,-0.054878049,-0.050359712,0.102564103,-0.058823529,-0.041860465,0.063291139,0.013961606,-0.007194245,0.7,0.154545455
3,88,0.011960133,0.011083744,0.095238095,0.010568032,0.116666667,0.00477707,0.003690037,0.012307692,0.016129032,0.008547009,0,-0.042253521,-0.061946903,0,0.128953771,0.035029191,0.088686513,0.053422371,0.035714286,0.072289157,3,-0.056603774,-0.03125,-0.058139535,-0.048611111,0.142857143,-0.048387097,-0.040540541,0.096153846,0.012779553,-0.013986014,0.5,0.122302158
3,89,0.010252905,0.010191083,0.2,0.010723861,0.132075472,0.005181347,0.003968254,0.012578616,0.018691589,0.009876543,0,-0.038961039,-0.05511811,0,0.121727147,0.035974304,0.073523248,0.059813084,0.03030303,0.068571429,0.428571429,-0.058823529,-0.031914894,-0.054216867,-0.049295775,0.108108108,-0.037815126,-0.031690141,0.833333333,0.011510791,-0.013468013,0.375,0.128787879
3,90,0.010141988,0.010062893,0.090909091,0.008951407,0.192982456,-0.00152207,0.007255139,0.012232416,0.024390244,0.009433962,0,-0.04,-0.05785124,0,0.142167382,0.036300778,0.093823737,0.055459272,0.032258065,0.070588235,0.083333333,-0.057692308,-0.030927835,-0.056818182,-0.048275862,0.131578947,-0.052325581,-0.039647577,0.083333333,0.016871166,-0.014981273,0.352941176,0.118055556
