class,id,high,weight,shangbiweisongjincha,xiongwei,huxicha,jiaowei,tunwei,jiankuan,gupenkuan,tizhong,tizhilv,jibenxinlv,xingongzhishu,maiyacha,feihuoliang,zuidasheyangliang,pingjunwoli,beijili,1minyangwoqizuo,lidingtiaoyuan,fuwocheng,xanzefanyingshi,50m,shizibianxiangpao,wangfanpao,fanfuhengkua,congcha,hengcha,zuoweitiqianqu,zhuanjian,litizhuanti,bimudanzu,1minpaowangqiu
2,41,0.010087424,0.010088272,0.125,0.010738255,0.132075472,0.0048,0.003773585,0.012383901,0.012396694,0.010126582,0,-0.016393443,-0.037037037,-0.048780488,0.140656064,0.034132466,0.089861751,0.052805281,0.029411765,0.08496732,-0.0625,-0.019230769,-0.031578947,-0.054545455,-0.034013605,0.147058824,-0.027027027,-0.023715415,-0.148148148,0.018592297,-0.014440433,0.14,0.026845638
2,42,0.006476684,0.007211538,0.086956522,0.01029601,0.112903226,0.004531722,0.008464329,0.01183432,0.015810277,0.008752735,0,-0.044117647,-0.047619048,0.135135135,0.146784232,0.061105723,0.095501382,0.055846422,0.035714286,0.057142857,1,-0.052631579,-0.033333333,-0.067484663,-0.043478261,0.105263158,-0.046875,-0.035714286,0.04494382,0.022508039,-0.007575758,0.384615385,0.049295775
2,43,0.009914078,0.00982801,0.060606061,0.010709505,0.116666667,0.004622496,0.003640777,0.012048193,0.016393443,0.00921659,-0.043478261,-0.014492754,-0.064220183,0,0.153304442,0.037668161,0.08895451,0.057553957,0.038461538,0.076923077,0.090909091,-0.037037037,-0.053191489,-0.063218391,-0.05,0.142857143,-0.038709677,-0.024291498,0.0625,0.021772939,-0.014336918,0.21875,0.053846154
2,44,0.009052505,0.008859358,0.090909091,0.009367681,0.08974359,0.003870968,0.003246753,0.011049724,0.013422819,0.006993007,-0.041666667,-0.015151515,-0.07,0,0.073346693,0.041584158,0.074720959,0.049004594,0.034482759,0.077844311,0.071428571,-0.036363636,-0.051546392,-0.049180328,-0.047297297,0.105263158,-0.035714286,0,0.068965517,0.033568905,-0.012903226,0.357142857,0.047945205
2,45,0.009752926,0.00973236,0.08,0.010416667,0.114754098,0.004854369,0.00373599,0.011940299,0.015810277,0.008281573,0,-0.02739726,-0.061403509,0,0.137578999,0.035029191,0.08717167,0.058823529,0.033333333,0.080246914,0,-0.033898305,-0.053763441,-0.058139535,-0.037313433,0.111111111,-0.032608696,-0.026200873,0.085106383,0.019858156,-0.014760148,0.2,0.08
2,46,0.007722008,0.006031363,0.111111111,0.010050251,0.152542373,0.004385965,0.003550296,0.023121387,0.011406844,0.008421053,0,-0.064102564,-0.053846154,0,0.076761745,0.036971831,0.08580963,0.053872054,0.043478261,0.077380952,0.090909091,-0.038461538,-0.053191489,-0.054216867,-0.048611111,0.142857143,-0.066666667,-0.052631579,0.038095238,0.02991453,-0.01509434,0.233333333,0.056910569
2,47,0.009640103,0.009603842,0.1,0.010139417,0.107692308,0.004273504,0.003389831,0.011461318,0.03125,0.002016129,0,-0.014084507,-0.065420561,0,0.116604862,0.054451167,0.066152835,0.052202284,0.03125,0.076023392,0.6,-0.035714286,-0.053763441,-0.054878049,-0.043478261,0.117647059,-0.03030303,-0.021126761,0.102564103,0.022838499,-0.014492754,0.24137931,0.051851852
2,48,0.010211028,0.010335917,0.0625,0.010752688,0.12962963,0.005136986,0.003865979,0.012618297,0.017021277,0.009153318,0,-0.013333333,-0.05785124,-0.042553191,0.174475956,0.041584158,0.073401124,0.075313808,0.035714286,0.076923077,0.375,-0.036363636,-0.053191489,-0.056962025,-0.051470588,0.108108108,-0.024793388,-0.032608696,-0.071428571,0.007936508,-0.012779553,0.205882353,0.045751634
2,49,0.010026738,0.010062893,0.074074074,0.010512484,0.137254902,-0.004709576,0.003731343,0.012307692,0.018018018,0.008639309,0,-0.014705882,-0.066037736,0,0.14625323,0.042021011,0.070657779,0.054794521,0.032258065,0.056497175,0,-0.035714286,-0.051546392,-0.052023121,-0.049295775,0.095238095,-0.071428571,-0.042253521,0.033898305,0.023850085,-0.014285714,0.24137931,0.047297297
2,50,0.010683761,0.01062417,0.055555556,0.011527378,0.152173913,0.005319149,0.004076087,0.013114754,0.019230769,0.010958904,0,-0.044776119,-0.068627451,0,0.141147132,0.038391225,0.10690117,0.065708419,0.033333333,0.076470588,0.090909091,-0.037735849,-0.056179775,-0.058064516,-0.039370079,0.114285714,-0.026315789,-0.021818182,-0.117647059,0.021909233,-0.012121212,0.212121212,0.092592593
