class,id,high,weight,shangbiweisongjincha,xiongwei,huxicha,jiaowei,tunwei,jiankuan,gupenkuan,tizhong,tizhilv,jibenxinlv,xingongzhishu,maiyacha,feihuoliang,zuidasheyangliang,pingjunwoli,beijili,1minyangwoqizuo,lidingtiaoyuan,fuwocheng,xanzefanyingshi,50m,shizibianxiangpao,wangfanpao,fanfuhengkua,congcha,hengcha,zuoweitiqianqu,zhuanjian,litizhuanti,bimudanzu,1minpaowangqiu
1,1,0.011221122,0.007380074,0.352941176,0.010416667,0.147540984,0,0.004920049,0.012345679,0.015936255,0.020725389,0,0,-0.1,-0.022727273,0.266666667,0.033559728,0.218729427,0.091362126,0.088235294,0.08974359,0.117647059,0.018867925,-0.031578947,-0.030120482,-0.02173913,0.057142857,-0.035502959,-0.02739726,0.048387097,0.029239766,-0.003937008,0.21875,0.032679739
1,2,0.009683667,0.009615385,0.304347826,0.011306533,0.152542373,0.005856515,0.004733728,0.011594203,0.016064257,0.008264463,0,-0.013513514,-0.064516129,0,0.164044944,0.064384262,0.144020739,0.128834356,0.125,0.085365854,2,-0.053571429,-0.022222222,-0.018987342,-0.023622047,0.096774194,-0.037037037,-0.028037383,0.054545455,0.026771654,-0.008888889,0.307692308,0.048611111
1,3,0.011440108,0.010075567,0.161290323,0.011764706,0.2,0.006369427,0.005018821,0.012618297,0.016736402,0.008658009,0,-0.029411765,-0.0625,-0.021276596,0.211320755,0.038026256,0.22341629,0.115234375,0.148148148,0.092105263,0.214285714,-0.018181818,-0.032608696,-0.030487805,-0.021582734,0.055555556,-0.023529412,-0.01863354,-0.071428571,0.015483871,-0.013468013,0.212121212,0.052238806
1,4,0.009658725,0.009489917,0.208333333,0.012626263,0.132352941,0.005610098,0.004711425,0.011695906,0.015151515,0.00845666,0,-0.014492754,-0.066037736,0,0.078850103,0.041156296,0.181575643,0.100854701,0.142857143,0.06043956,0.625,-0.018518519,-0.02247191,-0.019230769,-0.022727273,0.054054054,-0.032786885,-0.025531915,0.078947368,0.026356589,-0.01369863,0.25,0.047297297
1,5,0.010699001,0.008086253,0.28,0.012430939,0.214285714,0.007117438,0.005354752,0.013114754,0.018604651,0.011267606,0,-0.014084507,-0.0625,0,0.204912281,0.035338662,0.211266109,0.102787456,0.129032258,0.085889571,0.052631579,-0.019230769,-0.032258065,-0.023809524,-0.021276596,0.0625,-0.029268293,-0.022727273,0.054545455,0.024781341,-0.012944984,0.087719298,0.054263566
1,6,0.010252905,0.010269576,0.333333333,0.012244898,0.163636364,0.006578947,0.00879397,0.025316456,0.016393443,0.009546539,0,-0.04,-0.058333333,0.057142857,0.139712919,0.078483716,0.271692629,0.107664234,0.125,0.083832335,0.4,-0.019607843,-0.03125,-0.028409091,-0.020833333,0.090909091,-0.025316456,-0.020761246,-0.2,0.023224044,-0.013468013,0.21875,0.047619048
1,7,0.00998004,0.009840098,0.135135135,0.01212938,0.120689655,0.006134969,0.004860267,0.012158055,0.016326531,0.008849558,0,-0.013888889,-0.060869565,0,0.149897331,0.036633232,0.212028542,0.096247961,0.121212121,0.081395349,0.625,-0.01754386,-0.031578947,-0.029761905,-0.020547945,0.057142857,-0.083333333,-0.036585366,0.019230769,0.032945736,-0.015267176,0.175,0.050359712
1,8,0.010918433,0.009592326,0.533333333,0.01226158,0.147540984,-0.001547988,0.004848485,0.011695906,0.015810277,0.008247423,0,-0.014925373,-0.05,0,0.077232502,0.041156296,0.174506662,0.090076336,0.148148148,0.083333333,0.555555556,-0.018518519,-0.033333333,-0.02994012,-0.022222222,0.055555556,-0.068965517,-0.037735849,0.02027027,0.039783002,-0.015209125,0.25,0.030864198
1,9,0.010231924,0.010191083,0.291666667,0.01294964,0.229166667,0.006734007,0.005235602,0.012779553,0.017167382,0.010075567,0,-0.028985507,-0.066037736,0,0.144055254,0.042021011,0.198208444,0.125,0.133333333,0.068181818,0.214285714,-0.018181818,-0.032967033,-0.031446541,-0.022727273,0.054054054,-0.027906977,-0.024291498,0.071428571,0.025954198,-0.013559322,0.24137931,0.046666667
1,10,0.009590793,0.009269988,0.192307692,0.011320755,0.125,0.003095975,0.004790419,0.011627907,0.014925373,0.00804829,0,-0.014285714,-0.064814815,0,0.127233115,0.038026256,0.18249446,0.094098884,0.137931034,0.082840237,0.25,-0.019230769,-0.032608696,-0.024691358,-0.022058824,0.058823529,-0.051282051,-0.031088083,0.023809524,0.026479751,-0.013071895,0.212121212,0.060869565
